Particle 1 Position,Particle 2 Position,Eigenvector Squared
0.000000000000000000e+00,0.000000000000000000e+00,1.191685651873913486e-20
0.000000000000000000e+00,1.010101010101010050e-14,3.553180908217119927e-19
0.000000000000000000e+00,2.020202020202020101e-14,4.032876145140860591e-18
0.000000000000000000e+00,3.030303030303029993e-14,2.727906673124968723e-17
0.000000000000000000e+00,4.040404040404040202e-14,1.336394221128718786e-16
0.000000000000000000e+00,5.050505050505050410e-14,5.249960258819195496e-16
0.000000000000000000e+00,6.060606060606059987e-14,1.755501590272574456e-15
0.000000000000000000e+00,7.070707070707070195e-14,5.189537343311349356e-15
0.000000000000000000e+00,8.080808080808080403e-14,1.391373875394870458e-14
0.000000000000000000e+00,9.090909090909090611e-14,3.445066474647499982e-14
0.000000000000000000e+00,1.010101010101010082e-13,7.982684066818601272e-14
0.000000000000000000e+00,1.111111111111111103e-13,1.748443003208625705e-13
0.000000000000000000e+00,1.212121212121211997e-13,3.648207461700819543e-13
0.000000000000000000e+00,1.313131313131313018e-13,7.296319495886996944e-13
0.000000000000000000e+00,1.414141414141414039e-13,1.405647767037846494e-12
0.000000000000000000e+00,1.515151515151515060e-13,2.619139465816641027e-12
0.000000000000000000e+00,1.616161616161616081e-13,4.735990690719316555e-12
0.000000000000000000e+00,1.717171717171717101e-13,8.334104740259275917e-12
0.000000000000000000e+00,1.818181818181818122e-13,1.430679796190776092e-11
0.000000000000000000e+00,1.919191919191919143e-13,2.400772311293948655e-11
0.000000000000000000e+00,2.020202020202020164e-13,3.945048085093291900e-11
0.000000000000000000e+00,2.121212121212121185e-13,6.357903226229696760e-11
0.000000000000000000e+00,2.222222222222222206e-13,1.006282707020507675e-10
0.000000000000000000e+00,2.323232323232323226e-13,1.565975597057852148e-10
0.000000000000000000e+00,2.424242424242423995e-13,2.398635635729867772e-10
0.000000000000000000e+00,2.525252525252525268e-13,3.619621064503123407e-10
0.000000000000000000e+00,2.626262626262626036e-13,5.385718563902791867e-10
0.000000000000000000e+00,2.727272727272727310e-13,7.907350483718217038e-10
0.000000000000000000e+00,2.828282828282828078e-13,1.146351881682539522e-09
0.000000000000000000e+00,2.929292929292929351e-13,1.641985248333308995e-09
0.000000000000000000e+00,3.030303030303030120e-13,2.325010620968607290e-09
0.000000000000000000e+00,3.131313131313131393e-13,3.256141774755164087e-09
0.000000000000000000e+00,3.232323232323232161e-13,4.512356049341567024e-09
0.000000000000000000e+00,3.333333333333332930e-13,6.190232606565193593e-09
0.000000000000000000e+00,3.434343434343434203e-13,8.409703183139304822e-09
0.000000000000000000e+00,3.535353535353534971e-13,1.131819684472413275e-08
0.000000000000000000e+00,3.636363636363636245e-13,1.509513800047128598e-08
0.000000000000000000e+00,3.737373737373737013e-13,1.995673041366005209e-08
0.000000000000000000e+00,3.838383838383838286e-13,2.616092930377353585e-08
0.000000000000000000e+00,3.939393939393939055e-13,3.401246933551458879e-08
0.000000000000000000e+00,4.040404040404040328e-13,4.386777904956513727e-08
0.000000000000000000e+00,4.141414141414141096e-13,5.613957317991436203e-08
0.000000000000000000e+00,4.242424242424242370e-13,7.130087472897537827e-08
0.000000000000000000e+00,4.343434343434343138e-13,8.988818038950122702e-08
0.000000000000000000e+00,4.444444444444444411e-13,1.125034480028608626e-07
0.000000000000000000e+00,4.545454545454545180e-13,1.398145556191924255e-07
0.000000000000000000e+00,4.646464646464646453e-13,1.725538609925352011e-07
0.000000000000000000e+00,4.747474747474747726e-13,2.115144807933501611e-07
0.000000000000000000e+00,4.848484848484847990e-13,2.575439132425596058e-07
0.000000000000000000e+00,4.949494949494949263e-13,3.115346490257636857e-07
0.000000000000000000e+00,5.050505050505050536e-13,3.744114556527765944e-07
0.000000000000000000e+00,5.151515151515150800e-13,4.471150819868674392e-07
0.000000000000000000e+00,5.252525252525252073e-13,5.305822138588706672e-07
0.000000000000000000e+00,5.353535353535353346e-13,6.257216192149498212e-07
0.000000000000000000e+00,5.454545454545454619e-13,7.333865517366279866e-07
0.000000000000000000e+00,5.555555555555554883e-13,8.543436339245021661e-07
0.000000000000000000e+00,5.656565656565656156e-13,9.892386115037842538e-07
0.000000000000000000e+00,5.757575757575757429e-13,1.138559556670620790e-06
0.000000000000000000e+00,5.858585858585858703e-13,1.302598292719046880e-06
0.000000000000000000e+00,5.959595959595958966e-13,1.481411010192333481e-06
0.000000000000000000e+00,6.060606060606060239e-13,1.674779236889465804e-06
0.000000000000000000e+00,6.161616161616161513e-13,1.882172501783266869e-06
0.000000000000000000e+00,6.262626262626262786e-13,2.102714186237049586e-06
0.000000000000000000e+00,6.363636363636363049e-13,2.335152174630868492e-06
0.000000000000000000e+00,6.464646464646464323e-13,2.577835990199348376e-06
0.000000000000000000e+00,6.565656565656565596e-13,2.828702120674488291e-06
0.000000000000000000e+00,6.666666666666665859e-13,3.085269193345794718e-06
0.000000000000000000e+00,6.767676767676767133e-13,3.344644542934149574e-06
0.000000000000000000e+00,6.868686868686868406e-13,3.603543523068625664e-06
0.000000000000000000e+00,6.969696969696969679e-13,3.858322640414725903e-06
0.000000000000000000e+00,7.070707070707069943e-13,4.105027240194308729e-06
0.000000000000000000e+00,7.171717171717171216e-13,4.339454046949312258e-06
0.000000000000000000e+00,7.272727272727272489e-13,4.557228372741811307e-06
0.000000000000000000e+00,7.373737373737373762e-13,4.753895258258106903e-06
0.000000000000000000e+00,7.474747474747474026e-13,4.925023226177030350e-06
0.000000000000000000e+00,7.575757575757575299e-13,5.066318719908975539e-06
0.000000000000000000e+00,7.676767676767676572e-13,5.173748696882843539e-06
0.000000000000000000e+00,7.777777777777777846e-13,5.243668269113728007e-06
0.000000000000000000e+00,7.878787878787878109e-13,5.272949761497554284e-06
0.000000000000000000e+00,7.979797979797979382e-13,5.259109117828422052e-06
0.000000000000000000e+00,8.080808080808080656e-13,5.200425252831421200e-06
0.000000000000000000e+00,8.181818181818180919e-13,5.096047750949316192e-06
0.000000000000000000e+00,8.282828282828282193e-13,4.946088271534438273e-06
0.000000000000000000e+00,8.383838383838383466e-13,4.751691153087264889e-06
0.000000000000000000e+00,8.484848484848484739e-13,4.515079028720918982e-06
0.000000000000000000e+00,8.585858585858585003e-13,4.239569776151730368e-06
0.000000000000000000e+00,8.686868686868686276e-13,3.929561826082954857e-06
0.000000000000000000e+00,8.787878787878787549e-13,3.590485731884034084e-06
0.000000000000000000e+00,8.888888888888888822e-13,3.228720941550967981e-06
0.000000000000000000e+00,8.989898989898989086e-13,2.851477881988526258e-06
0.000000000000000000e+00,9.090909090909090359e-13,2.466646729170922164e-06
0.000000000000000000e+00,9.191919191919191632e-13,2.082615552324024680e-06
0.000000000000000000e+00,9.292929292929292906e-13,1.708061836226157426e-06
0.000000000000000000e+00,9.393939393939394179e-13,1.351722649421077241e-06
0.000000000000000000e+00,9.494949494949495452e-13,1.022149881698155600e-06
0.000000000000000000e+00,9.595959595959594706e-13,7.274579661234663917e-07
0.000000000000000000e+00,9.696969696969695979e-13,4.750722766996217678e-07
0.000000000000000000e+00,9.797979797979797252e-13,2.714869056863777969e-07
0.000000000000000000e+00,9.898989898989898526e-13,1.220407370884896904e-07
0.000000000000000000e+00,9.999999999999999799e-13,3.072061987913423392e-08
1.010101010101010050e-14,0.000000000000000000e+00,3.553180634276182756e-19
1.010101010101010050e-14,1.010101010101010050e-14,3.936283415332886746e-19
1.010101010101010050e-14,2.020202020202020101e-14,8.007689233479294754e-18
1.010101010101010050e-14,3.030303030303029993e-14,7.011714489763678255e-17
1.010101010101010050e-14,4.040404040404040202e-14,3.922216248493336755e-16
1.010101010101010050e-14,5.050505050505050410e-14,1.665204915139051548e-15
1.010101010101010050e-14,6.060606060606059987e-14,5.852101943049626037e-15
1.010101010101010050e-14,7.070707070707070195e-14,1.789815796951114615e-14
1.010101010101010050e-14,8.080808080808080403e-14,4.917338889900611011e-14
1.010101010101010050e-14,9.090909090909090611e-14,1.239931835031478784e-13
1.010101010101010050e-14,1.010101010101010082e-13,2.913648706913254125e-13
1.010101010101010050e-14,1.111111111111111103e-13,6.452702075788394552e-13
1.010101010101010050e-14,1.212121212121211997e-13,1.358428002189772209e-12
1.010101010101010050e-14,1.313131313131313018e-13,2.736718398938780953e-12
1.010101010101010050e-14,1.414141414141414039e-13,5.304437085018634967e-12
1.010101010101010050e-14,1.515151515151515060e-13,9.934440587074560737e-12
1.010101010101010050e-14,1.616161616161616081e-13,1.804220201356814135e-11
1.010101010101010050e-14,1.717171717171717101e-13,3.186896991463531184e-11
1.010101010101010050e-14,1.818181818181818122e-13,5.488673694716725123e-11
