Time (s), Leakage
0.00000000e+00,0.00000000e+00
0.00000000e+00,7.70962537e-03
5.00000000e-17,2.45204928e-02
1.00000000e-16,4.10801776e-02
1.50000000e-16,5.78591327e-02
2.00000000e-16,8.08211792e-02
2.50000000e-16,1.09220281e-01
3.00000000e-16,1.36778770e-01
3.50000000e-16,1.62664605e-01
4.00000000e-16,1.92207396e-01
4.50000000e-16,2.26772025e-01
5.00000000e-16,2.61195418e-01
5.50000000e-16,2.92760904e-01
6.00000000e-16,3.25333352e-01
6.50000000e-16,3.61819116e-01
7.00000000e-16,3.98828579e-01
7.50000000e-16,4.32584474e-01
8.00000000e-16,4.65046547e-01
8.50000000e-16,4.99738406e-01
9.00000000e-16,5.35284902e-01
9.50000000e-16,5.67879555e-01
1.00000000e-15,5.97671765e-01
1.05000000e-15,6.27882051e-01
1.10000000e-15,6.58864733e-01
1.15000000e-15,6.87633412e-01
1.20000000e-15,7.13057622e-01
1.25000000e-15,7.37413189e-01
1.30000000e-15,7.62127169e-01
1.35000000e-15,7.85470513e-01
1.40000000e-15,8.05765880e-01
1.45000000e-15,8.24121672e-01
1.50000000e-15,8.42274466e-01
1.55000000e-15,8.59727807e-01
1.60000000e-15,8.74929953e-01
1.65000000e-15,8.87995865e-01
1.70000000e-15,9.00360784e-01
1.75000000e-15,9.12389973e-01
1.80000000e-15,9.23073155e-01
1.85000000e-15,9.31947960e-01
1.90000000e-15,9.39846581e-01
1.95000000e-15,9.47491958e-01
2.00000000e-15,9.54506834e-01
2.05000000e-15,9.60299792e-01
2.10000000e-15,9.65118189e-01
2.15000000e-15,9.69618605e-01
2.20000000e-15,9.73890265e-01
2.25000000e-15,9.77519636e-01
2.30000000e-15,9.80393560e-01
2.35000000e-15,9.82887120e-01
2.40000000e-15,9.85281623e-01
2.45000000e-15,9.87435745e-01
2.50000000e-15,9.89140369e-01
2.55000000e-15,9.90490512e-01
2.60000000e-15,9.91730794e-01
2.65000000e-15,9.92915523e-01
2.70000000e-15,9.93912228e-01
2.75000000e-15,9.94664203e-01
2.80000000e-15,9.95281692e-01
2.85000000e-15,9.95875850e-01
2.90000000e-15,9.96428176e-01
2.95000000e-15,9.96866043e-01
3.00000000e-15,9.97190386e-01
3.05000000e-15,9.97470682e-01
3.10000000e-15,9.97748215e-01
3.15000000e-15,9.97999376e-01
3.20000000e-15,9.98191419e-01
3.25000000e-15,9.98334273e-01
3.30000000e-15,9.98463302e-01
3.35000000e-15,9.98593583e-01
3.40000000e-15,9.98710824e-01
3.45000000e-15,9.98800253e-01
3.50000000e-15,9.98867782e-01
3.55000000e-15,9.98930064e-01
3.60000000e-15,9.98994063e-01
3.65000000e-15,9.99053223e-01
3.70000000e-15,9.99100080e-01
